epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,21675.4,1.13364,0.8518,1.25333,0.64528,0.72371,0.70598,0.45772,1.23017,0.81555,1.3598,0.00144161,0.00144161,0.00144161
78,21962.3,1.13191,0.85088,1.2568,0.64607,0.72593,0.70634,0.45762,1.22951,0.8144,1.35904,0.00133695,0.00133695,0.00133695
79,22246.5,1.12943,0.84721,1.25564,0.64575,0.72643,0.70668,0.45772,1.229,0.81326,1.35846,0.00123596,0.00123596,0.00123596
80,22530.7,1.12901,0.83997,1.25217,0.64735,0.72615,0.70646,0.45776,1.22853,0.81244,1.35782,0.00113873,0.00113873,0.00113873
81,22822.9,1.12621,0.83809,1.25119,0.64666,0.72779,0.70669,0.45825,1.22778,0.81147,1.35703,0.00104537,0.00104537,0.00104537
82,23114.1,1.12027,0.83446,1.24893,0.64746,0.72765,0.70689,0.45827,1.22726,0.81021,1.35638,0.000955951,0.000955951,0.000955951
83,23400.6,1.11024,0.82506,1.24449,0.64622,0.72787,0.70712,0.45855,1.22686,0.80922,1.35592,0.000870577,0.000870577,0.000870577
84,23683.5,1.11942,0.82913,1.24919,0.64806,0.72684,0.70716,0.45909,1.22638,0.80813,1.35525,0.000789327,0.000789327,0.000789327
85,23970.2,1.11402,0.8237,1.24445,0.6497,0.72673,0.70728,0.45944,1.22593,0.80711,1.35473,0.000712282,0.000712282,0.000712282
86,24252.9,1.11269,0.81853,1.24241,0.65164,0.72583,0.7076,0.45972,1.22595,0.80622,1.35461,0.000639518,0.000639518,0.000639518
87,24527.6,1.10292,0.81702,1.23579,0.65236,0.72302,0.70801,0.46044,1.2254,0.80553,1.35397,0.000571106,0.000571106,0.000571106
88,24802.7,1.10076,0.80945,1.23438,0.65133,0.72285,0.70704,0.46064,1.22503,0.80464,1.3535,0.000507115,0.000507115,0.000507115
89,25086,1.10264,0.8144,1.2364,0.65235,0.72299,0.70632,0.46056,1.22475,0.80371,1.35311,0.000447606,0.000447606,0.000447606
90,25367.2,1.10164,0.8097,1.23287,0.6515,0.72313,0.70625,0.46071,1.2245,0.8031,1.35273,0.00039264,0.00039264,0.00039264
91,25657.5,1.0922,0.70191,1.24539,0.65226,0.72207,0.70625,0.46115,1.22424,0.80269,1.35234,0.00034227,0.00034227,0.00034227
92,25935.8,1.08915,0.69163,1.2443,0.65272,0.72093,0.70622,0.46137,1.22371,0.80201,1.35192,0.000296546,0.000296546,0.000296546
93,26215.4,1.08083,0.68963,1.23967,0.65109,0.72192,0.70608,0.46151,1.22345,0.8014,1.35146,0.000255513,0.000255513,0.000255513
94,26494.5,1.08019,0.68395,1.23657,0.65218,0.72234,0.70593,0.46157,1.22303,0.80052,1.35097,0.000219212,0.000219212,0.000219212
95,26768.8,1.0768,0.68135,1.23437,0.65401,0.72288,0.70601,0.4615,1.22263,0.79975,1.35064,0.000187678,0.000187678,0.000187678
96,27042.1,1.0807,0.6829,1.23989,0.65376,0.72366,0.70619,0.46194,1.22254,0.79866,1.35055,0.000160943,0.000160943,0.000160943
97,27314.4,1.07248,0.67689,1.23444,0.65297,0.7235,0.70612,0.46225,1.2221,0.79817,1.35019,0.000139032,0.000139032,0.000139032
98,27594,1.07371,0.67439,1.23418,0.64919,0.72506,0.70609,0.46253,1.22181,0.79736,1.34987,0.000121968,0.000121968,0.000121968
99,27874.7,1.07006,0.67204,1.23141,0.64957,0.72596,0.70621,0.46277,1.22157,0.79656,1.34965,0.000109768,0.000109768,0.000109768
100,28153.6,1.07277,0.67167,1.23795,0.65023,0.72554,0.70647,0.463,1.22123,0.79567,1.34939,0.000102443,0.000102443,0.000102443
